city,category,count
bangalore,Identity Management ,2
bangalore,Price Comparison ,2
bangalore,Robotics ,2
bangalore,Wearables For Seniors / Kids ,2
bangalore,Application Performance Monitoring ,2
bangalore,Bars ,2
bangalore,Families ,2
bangalore,Engineering Firms ,2
bangalore,Kolkata ,2
bangalore,Outdoors ,2
bangalore,Parking ,2
bangalore,Electric Vehicles ,2
bangalore,Legal Tech ,2
bangalore,Mobile Shopping ,2
bangalore,Smart City ,2
bangalore,M2M ,2
bangalore,Smart Building ,2
bangalore,Forums ,2
bangalore,Tutoring ,2
bangalore,Film Production ,2
bangalore,Ad Targeting ,2
bangalore,Text Analytics ,2
bangalore,Teachers ,2
bangalore,Translation ,2
bangalore,Deep Learning ,2
bangalore,Handmade ,2
bangalore,Digital Publishing ,2
bangalore,Mining Technologies ,2
bangalore,"Professionnal Training,Schools ",2
bangalore,India ,2
bangalore,High Tech ,2
bangalore,Commercial Solar ,2
bangalore,Office Space ,2
bangalore,University And Educational Institutions ,2
bangalore,Google Apps ,2
bangalore,Comics ,2
bangalore,Remittance ,2
bangalore,Renewable Energies ,2
bangalore,Working Professionals ,2
bangalore,Hr Tech ,2
bangalore,Mobile Devices ,2
bangalore,Spas ,2
bangalore,Unifed Communications ,2
bangalore,Portals ,2
bangalore,Internet Technology ,2
bangalore,Testing ,2
bangalore,Mens Specific ,2
bangalore,Cosmetics ,2
bangalore,Real Estate Investors ,2
bangalore,Recipes ,2
bangalore,Edutainment ,2
bangalore,Household Services ,2
bangalore,Open Source ,2
bangalore,Video Games ,2
bangalore,Networking ,2
bangalore,Task Management ,2
bangalore,mHealth ,2
bangalore,Gift Exchange ,2
bangalore,Digital Signage ,2
bangalore,Bangladesh ,2
bangalore,Sri Lanka ,2
bangalore,Animation ,2
bangalore,Lingerie ,2
bangalore,Home Renovation ,2
bangalore,Energy Management ,2
bangalore,Consumer Packaged Goods ,2
bangalore,Energy Efficiency ,2
bangalore,Personal Branding ,2
bangalore,Cloud-Based Music ,2
bangalore,Operating Systems ,2
bangalore,Mobile Analytics ,2
bangalore,Energy ,2
bangalore,None ,2
